rank,title,first_author,citation_count,github_stars,arxiv_abs_url,arxiv_pdf_url,github_repo,icml_page_url,openreview_url,author_post_url,tag_handles
21,Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,Zhixuan Liang,67,419,https://arxiv.org/abs/2508.20072,https://arxiv.org/pdf/2508.20072,https://github.com/JiuTian-VL/Large-VLM-based-VLA-for-Robotic-Manipulation,https://icml.cc/virtual/2026/poster/62902,https://openreview.net/forum?id=c3BVcHcSiR,,
22,Reinforcement Learning with Evolving Rubrics for Deep Research,Rulin Shao,61,,https://arxiv.org/abs/2511.19399,https://arxiv.org/pdf/2511.19399,,https://icml.cc/virtual/2026/poster/65886,https://openreview.net/forum?id=97NEP1pyS3,https://x.com/faeze_brh/status/1990839185117491266,faeze_brh allen_ai HannaHajishirzi
23,Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Video Generation,Hongzhou Zhu,59,,https://arxiv.org/abs/2602.02214,https://arxiv.org/pdf/2602.02214,,https://icml.cc/virtual/2026/poster/65646,https://openreview.net/forum?id=BYInOck3gr,,
24,Learning to Discover at Test Time,Mert Yuksekgonul,56,591,https://arxiv.org/abs/2601.16175,https://arxiv.org/pdf/2601.16175,https://github.com/test-time-training/discover,https://icml.cc/virtual/2026/poster/65888,https://openreview.net/forum?id=96zNuQrH9Y,https://x.com/YejinChoinka/status/2015548029424795998,YejinChoinka mertyuksekgonul
25,DreamDojo: A Real-Time Robot World Model from Large-Scale Human Videos,Shenyuan Gao,55,,https://arxiv.org/abs/2602.06949,https://arxiv.org/pdf/2602.06949,,https://icml.cc/virtual/2026/poster/65193,https://openreview.net/forum?id=FuvU7PTyED,https://x.com/DrJimFan/status/2024895359236051274,DrJimFan
26,mHC: Manifold-Constrained Hyper-Connections,Zhenda Xie,55,,https://arxiv.org/abs/2512.24880,https://arxiv.org/pdf/2512.24880,,https://icml.cc/virtual/2026/poster/61870,https://openreview.net/forum?id=mDhyxu8WRb,,
27,Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting,Howard Chen,54,44,https://arxiv.org/abs/2510.18874,https://arxiv.org/pdf/2510.18874,https://github.com/princeton-pli/retaining-by-doing,https://icml.cc/virtual/2026/poster/64375,https://openreview.net/forum?id=ODTM64azGa,,
28,MemEvolve: Meta-Evolution of Agent Memory Systems,Guibin Zhang,52,246,https://arxiv.org/abs/2512.18746,https://arxiv.org/pdf/2512.18746,https://github.com/bingreeky/MemEvolve,https://icml.cc/virtual/2026/poster/61379,https://openreview.net/forum?id=qpkG0eKx4v,,
29,ACON: Optimizing Context Compression for Long-horizon LLM Agents,Minki Kang,51,89,https://arxiv.org/abs/2510.00615,https://arxiv.org/pdf/2510.00615,https://github.com/microsoft/acon,https://icml.cc/virtual/2026/poster/66270,https://openreview.net/forum?id=5EmOOLtH5P,,
30,"On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models",Charlie Zhang,50,157,https://arxiv.org/abs/2512.07783,https://arxiv.org/pdf/2512.07783,https://github.com/Interplay-LM-Reasoning/Interplay-LM-Reasoning,https://icml.cc/virtual/2026/poster/63850,https://openreview.net/forum?id=TBaUfO9znF,https://x.com/xiangyue96/status/1998488030836044112,xiangyue96
31,TreePO: Enhancing Policy Efficacy and Inference Efficiency with Tree Modeling,Yizhi Li,50,,https://arxiv.org/abs/2508.17445,https://arxiv.org/pdf/2508.17445,,https://icml.cc/virtual/2026/poster/61677,https://openreview.net/forum?id=npsWK8rgYO,,
32,Efficient Reasoning with Hidden Thinking,Xuan Shen,49,,https://arxiv.org/abs/2501.19201,https://arxiv.org/pdf/2501.19201,,https://icml.cc/virtual/2026/poster/65014,https://openreview.net/forum?id=Hn81xuLaXY,,
